1965,Yesterday,The Beatles,F Em7 A7 Dm Dm/C Bb C7 F F/E Dm G7 Bb F F,Em7 A7 Dm Dm/c Bb Gm C F Em7 A7 Dm Dm/c Bb Gm C F,F G/F Bb F F,F
1967,Ruby Tuesday,The Rolling Stones,Am C/G F G C Am C/G F C G7 Am D7 G Am D7 G C G7,C G C C G C G C G Bb F G C G,Am C/G F G C,C
1969,Don't Let Me Down,The Beatles,E F#m7 F#m/B E Esus4 E E F#m F#m/B E Esus4 E ,E F#m F#m7 Amaj7/B E F#m F#m7 Amaj7/B Esus4 E,E B B7 E,E
1969,Space Oddity,David Bowie,C E7 F Fm C F Fm C F C E7 F Fm C F Fm C F,Fmaj7 Em Fmaj7 Em Bb Am G F,G E7 Am C/G D7/F# C G,C
1971,Changes,David Bowie,C Em7 F G F C Em7 F G Cmaj7 Dm7 Em7 Ebm7 Dm7 G Cmaj7 Dm7 Em7 Ebm7 Dm7,G F C C/B C/A C/G F F/E D G F C C/B C/A C/G F F/E D F/A C/G Bb F C/E G/D F/A C D F7 D F7,F C F/C C F G,C
1972,Moonage Daydream,David Bowie,D5 F# Bm Bm7/A E G D F# Bm Bm/A E,G Bm E G Bm E G Bm E D5 E,Bm A G F# F#7 Bm A G F# F#7,D
1974,Boogie On Reggae Woman,Stevie Wonder,Ab7 Db7 Bb7 Eb7 Ab7 Ab7 Db7 Bb7 Eb7 Ab7,Bb7 Db7 Gb7 Bb7 Eb7 Ab7,Ab7 Db7 Bb7 Eb7 Ab7 Ab7 Db7 Bb7 Eb7 Ab7,Ab
1977,Psycho Killer,Talking Heads,A G A G A G A G,F G A F G C F F G A F G C F G A G A G,Bm G Bm G A G A G A G A G A G,Am
1978,Roxanne,The Police,Em Bm/D Cmaj7 Bm7 Am7 Dsus4 Esus4 Em Bm/D Cmaj7 Bm7 Am7 Dsus4 Esus4,Am G C D D Em D/A G C D Esus4 Em,Em Bm/D Em Bm/D Cmaj7 Dsus4 Esus4,Gm
1979,Walking On The Moon,The Police,Dm7 Bb C Dm7 Bb C Dm7 Bb C Dm7 Bb C,Bb F C Gm Bb F C Gm Bb F C Gm Bb F C,G7sus4,Dm
1982,Eye in the Sky,Alan Parsons Project,D Bm D Bm G6 Gm6 Bm7 E7 D G D,D F#m D F#m G6 Gm6 Bm7 G Bm7 G,Bm G,Bm
1982,Our House,Madness,C Gm Dm Fm C Gm Dm Fm,D Am Em Gm D Am Em Gm,C Gm Dm Fm,C
1982,I Melt With You,Modern English,C F C F C F C F,C F C F C F C F,Em G Am Em G Am Em G Am Em G Am,C
1983,Burning Down The House,Talking Heads,G G F G G G F G G F G A7 F,G F G F G F G F,A7 F,G
1983,"Red, Red Wine",UB40,Db Gb Ab Db Gb Ab Db Gb Ab Db Gb Ab Db Gb Ab Db Gb Ab Db Gb Ab Db Gb Ab,Db Gb Ab Db Gb Ab Db Gb Ab Db Gb Ab,Db Gb Ab Db Gb Ab Db Gb Ab Db Gb Ab,Db
1987,Just Like Heaven,The Cure,A E Bm D A E Bm D A E Bm D A E Bm D,F#m G F#m G F#m G D A E Bm D,A E Bm D,A
1987,With Or Without You,U2,D A Bm G D A Bm G D A Bm G D A Bm G,D A Bm G D A Bm G,D A Bm G,D
1987,Never Tear Us Apart,INXS,Am F Dm F Am F Dm F,C F C F C F C F G,Am F Dm F,C
1988,I Don't Wanna Go On With You Like That,Elton John,Am Dm7 G A Dm7 Gsus4 Am Am Dm7 G A Dm7 Gsus4 Am,Am Dm7 G C F G Am Am Dm7 G Am,Am F Dm F,Am
1992,Friday I'm In Love,The Cure,D G D A Bm G D A,G A Bm G D A,Bm C D A Bm C D A Bm C D A Bm C D A,D
2001,Mad World,Gary Jules,Em G D A Em G D A Em G D A Em G D A,Em A Em A Em A Em A Em A Em A,Em A Em A,Em
